id,waste_description,waste_category
503,Fluorescent tube light,Hazardous & Lamps
504,Industrial copier,Large Equipment
505,Dishwasher machine,Large Equipment
506,Touchscreen panel,Screens & Monitors
507,Power bank battery,Hazardous & Lamps
508,Computer CPU cabinet,Small IT & General Equipment
509,Touchscreen panel,Screens & Monitors
510,Keyboard and mouse,Small IT & General Equipment
511,Broken LED bulb,Hazardous & Lamps
512,CRT TV old model,Screens & Monitors
513,Touchscreen panel,Screens & Monitors
514,Notebook display,Screens & Monitors
515,Large office printer,Large Equipment
516,Electric stove,Large Equipment
517,Desktop computer monitor,Screens & Monitors
518,Flat screen TV,Screens & Monitors
519,LED television,Screens & Monitors
520,Broken LED bulb,Hazardous & Lamps
521,LED television,Screens & Monitors
522,Router device,Small IT & General Equipment
523,Mobile phone not switching on,Small IT & General Equipment
524,Air conditioner outdoor unit,Large Equipment
525,Electronic toy,Small IT & General Equipment
526,Computer CPU cabinet,Small IT & General Equipment
527,AA alkaline battery,Hazardous & Lamps
528,Mercury lamp,Hazardous & Lamps
529,Microwave oven,Small IT & General Equipment
530,Broken laptop screen,Screens & Monitors
531,Electronic toy,Small IT & General Equipment
532,Keyboard and mouse,Small IT & General Equipment
533,UPS battery,Hazardous & Lamps
534,Power bank battery,Hazardous & Lamps
535,Microwave oven,Small IT & General Equipment
536,Broken LED bulb,Hazardous & Lamps
537,UPS battery,Hazardous & Lamps
538,Desktop computer monitor,Screens & Monitors
539,Vacuum cleaner,Small IT & General Equipment
540,Industrial copier,Large Equipment
541,Broken laptop screen,Screens & Monitors
542,Washing machine not working,Large Equipment
543,Washing machine not working,Large Equipment
544,Phone charger cable,Small IT & General Equipment
545,UPS battery,Hazardous & Lamps
546,Old CFL lamp,Hazardous & Lamps
547,Broken laptop screen,Screens & Monitors
548,Freezer unit,Large Equipment
549,LED television,Screens & Monitors
550,Computer CPU cabinet,Small IT & General Equipment
551,Industrial copier,Large Equipment
552,Tablet display cracked,Screens & Monitors
553,Computer CPU cabinet,Small IT & General Equipment
554,LCD monitor 24 inch,Screens & Monitors
555,LCD monitor 24 inch,Screens & Monitors
556,Clothes dryer,Large Equipment
557,Large office printer,Large Equipment
558,Router device,Small IT & General Equipment
559,Vacuum cleaner,Small IT & General Equipment
560,Power bank battery,Hazardous & Lamps
561,Desktop computer monitor,Screens & Monitors
562,Notebook display,Screens & Monitors
563,Keyboard and mouse,Small IT & General Equipment
564,Button cell battery,Hazardous & Lamps
565,Touchscreen panel,Screens & Monitors
566,Phone charger cable,Small IT & General Equipment
567,Refrigerator cooling issue,Large Equipment
568,CRT TV old model,Screens & Monitors
569,LCD monitor 24 inch,Screens & Monitors
570,Fluorescent tube light,Hazardous & Lamps
571,Washing machine not working,Large Equipment
572,Dishwasher machine,Large Equipment
573,Router device,Small IT & General Equipment
574,Electric stove,Large Equipment
575,Power bank battery,Hazardous & Lamps
576,Industrial copier,Large Equipment
577,UPS battery,Hazardous & Lamps
578,Keyboard and mouse,Small IT & General Equipment
579,Lithium ion battery from mobile phone,Hazardous & Lamps
580,Large office printer,Large Equipment
581,Tablet display cracked,Screens & Monitors
582,Laptop motherboard,Small IT & General Equipment
583,Laptop motherboard,Small IT & General Equipment
584,Laptop motherboard,Small IT & General Equipment
585,Clothes dryer,Large Equipment
586,LED television,Screens & Monitors
587,Freezer unit,Large Equipment
588,Router device,Small IT & General Equipment
589,Broken LED bulb,Hazardous & Lamps
590,UPS battery,Hazardous & Lamps
591,Clothes dryer,Large Equipment
592,Keyboard and mouse,Small IT & General Equipment
593,Broken LED bulb,Hazardous & Lamps
594,Old CFL lamp,Hazardous & Lamps
595,Lithium ion battery from mobile phone,Hazardous & Lamps
596,Air conditioner outdoor unit,Large Equipment
597,Large office printer,Large Equipment
598,Notebook display,Screens & Monitors
599,Lithium ion battery from mobile phone,Hazardous & Lamps
600,Laptop motherboard,Small IT & General Equipment
601,Keyboard and mouse,Small IT & General Equipment
602,Large office printer,Large Equipment
603,Power bank battery,Hazardous & Lamps
604,Broken LED bulb,Hazardous & Lamps
605,Computer CPU cabinet,Small IT & General Equipment
606,LCD monitor 24 inch,Screens & Monitors
607,Computer CPU cabinet,Small IT & General Equipment
608,CRT TV old model,Screens & Monitors
609,UPS battery,Hazardous & Lamps
610,Notebook display,Screens & Monitors
611,Notebook display,Screens & Monitors
612,Tablet display cracked,Screens & Monitors
613,Old CFL lamp,Hazardous & Lamps
614,Refrigerator cooling issue,Large Equipment
615,UPS battery,Hazardous & Lamps
616,Damaged rechargeable battery,Hazardous & Lamps
617,Office monitor screen,Screens & Monitors
618,LED television,Screens & Monitors
619,CRT TV old model,Screens & Monitors
620,Vacuum cleaner,Small IT & General Equipment
621,Notebook display,Screens & Monitors
622,Electric kettle,Small IT & General Equipment
623,Electric stove,Large Equipment
624,Mercury lamp,Hazardous & Lamps
625,LED television,Screens & Monitors
626,Broken LED bulb,Hazardous & Lamps
627,Microwave oven,Small IT & General Equipment
628,LED television,Screens & Monitors
629,Freezer unit,Large Equipment
630,Broken laptop screen,Screens & Monitors
631,Computer CPU cabinet,Small IT & General Equipment
632,Air conditioner outdoor unit,Large Equipment
633,AA alkaline battery,Hazardous & Lamps
634,Touchscreen panel,Screens & Monitors
635,Dishwasher machine,Large Equipment
636,Fluorescent tube light,Hazardous & Lamps
637,Mercury lamp,Hazardous & Lamps
638,Dishwasher machine,Large Equipment
639,Fluorescent tube light,Hazardous & Lamps
640,Vacuum cleaner,Small IT & General Equipment
641,Clothes dryer,Large Equipment
642,Heat pump machine,Large Equipment
643,Electric stove,Large Equipment
644,Mobile phone not switching on,Small IT & General Equipment
645,Router device,Small IT & General Equipment
646,Power bank battery,Hazardous & Lamps
647,Air conditioner outdoor unit,Large Equipment
648,Electronic toy,Small IT & General Equipment
649,Electronic toy,Small IT & General Equipment
650,Heat pump machine,Large Equipment
651,Notebook display,Screens & Monitors
652,Broken LED bulb,Hazardous & Lamps
653,Power bank battery,Hazardous & Lamps
654,Computer CPU cabinet,Small IT & General Equipment
655,Electronic toy,Small IT & General Equipment
656,Large office printer,Large Equipment
657,Laptop motherboard,Small IT & General Equipment
658,Mercury lamp,Hazardous & Lamps
659,Air conditioner outdoor unit,Large Equipment
660,Keyboard and mouse,Small IT & General Equipment
661,Broken laptop screen,Screens & Monitors
662,Large office printer,Large Equipment
663,Air conditioner outdoor unit,Large Equipment
664,CRT TV old model,Screens & Monitors
665,Mobile phone not switching on,Small IT & General Equipment
666,Notebook display,Screens & Monitors
667,CRT TV old model,Screens & Monitors
668,Mercury lamp,Hazardous & Lamps
669,Electric stove,Large Equipment
670,Heat pump machine,Large Equipment
671,Mercury lamp,Hazardous & Lamps
672,Dishwasher machine,Large Equipment
673,Broken LED bulb,Hazardous & Lamps
674,Clothes dryer,Large Equipment
675,Electric kettle,Small IT & General Equipment
676,Industrial copier,Large Equipment
677,Laptop motherboard,Small IT & General Equipment
678,Laptop motherboard,Small IT & General Equipment
679,Heat pump machine,Large Equipment
680,Heat pump machine,Large Equipment
681,Broken LED bulb,Hazardous & Lamps
682,Fluorescent tube light,Hazardous & Lamps
683,Clothes dryer,Large Equipment
684,Mobile phone not switching on,Small IT & General Equipment
685,Laptop motherboard,Small IT & General Equipment
686,Washing machine not working,Large Equipment
687,Washing machine not working,Large Equipment
688,Washing machine not working,Large Equipment
689,Freezer unit,Large Equipment
690,Laptop motherboard,Small IT & General Equipment
691,CRT TV old model,Screens & Monitors
692,LED television,Screens & Monitors
693,Laptop motherboard,Small IT & General Equipment
694,CRT TV old model,Screens & Monitors
695,Air conditioner outdoor unit,Large Equipment
696,Clothes dryer,Large Equipment
697,Mercury lamp,Hazardous & Lamps
698,AA alkaline battery,Hazardous & Lamps
699,Electronic toy,Small IT & General Equipment
700,Electric stove,Large Equipment
701,LCD monitor 24 inch,Screens & Monitors
702,Electronic toy,Small IT & General Equipment
703,Freezer unit,Large Equipment
704,Broken laptop screen,Screens & Monitors
705,Touchscreen panel,Screens & Monitors
706,AA alkaline battery,Hazardous & Lamps
707,LED television,Screens & Monitors
708,Microwave oven,Small IT & General Equipment
709,Button cell battery,Hazardous & Lamps
710,Fluorescent tube light,Hazardous & Lamps
711,Router device,Small IT & General Equipment
712,Old CFL lamp,Hazardous & Lamps
713,Dishwasher machine,Large Equipment
714,Air conditioner outdoor unit,Large Equipment
715,Electronic toy,Small IT & General Equipment
716,Heat pump machine,Large Equipment
717,Electric kettle,Small IT & General Equipment
718,Laptop motherboard,Small IT & General Equipment
719,Refrigerator cooling issue,Large Equipment
720,Dishwasher machine,Large Equipment
721,Refrigerator cooling issue,Large Equipment
722,Keyboard and mouse,Small IT & General Equipment
723,UPS battery,Hazardous & Lamps
724,Fluorescent tube light,Hazardous & Lamps
725,UPS battery,Hazardous & Lamps
726,Broken LED bulb,Hazardous & Lamps
727,Desktop computer monitor,Screens & Monitors
728,UPS battery,Hazardous & Lamps
729,Lithium ion battery from mobile phone,Hazardous & Lamps
730,Broken LED bulb,Hazardous & Lamps
731,Dishwasher machine,Large Equipment
732,CRT TV old model,Screens & Monitors
733,Electric kettle,Small IT & General Equipment
734,Electric kettle,Small IT & General Equipment
735,Air conditioner outdoor unit,Large Equipment
736,Keyboard and mouse,Small IT & General Equipment
737,Notebook display,Screens & Monitors
738,Refrigerator cooling issue,Large Equipment
739,Refrigerator cooling issue,Large Equipment
740,Freezer unit,Large Equipment
741,Washing machine not working,Large Equipment
742,Heat pump machine,Large Equipment
743,Tablet display cracked,Screens & Monitors
744,CRT TV old model,Screens & Monitors
745,Lithium ion battery from mobile phone,Hazardous & Lamps
746,Dishwasher machine,Large Equipment
747,Broken LED bulb,Hazardous & Lamps
748,Damaged rechargeable battery,Hazardous & Lamps
749,Power bank battery,Hazardous & Lamps
750,Mercury lamp,Hazardous & Lamps
751,Notebook display,Screens & Monitors
752,Tablet display cracked,Screens & Monitors
753,Keyboard and mouse,Small IT & General Equipment
754,Large office printer,Large Equipment
755,Laptop motherboard,Small IT & General Equipment
756,Dishwasher machine,Large Equipment
757,Tablet display cracked,Screens & Monitors
758,Tablet display cracked,Screens & Monitors
759,Office monitor screen,Screens & Monitors
760,UPS battery,Hazardous & Lamps
761,Dishwasher machine,Large Equipment
762,Lithium ion battery from mobile phone,Hazardous & Lamps
763,Button cell battery,Hazardous & Lamps
764,LCD monitor 24 inch,Screens & Monitors
765,Clothes dryer,Large Equipment
766,Fluorescent tube light,Hazardous & Lamps
767,UPS battery,Hazardous & Lamps
768,Damaged rechargeable battery,Hazardous & Lamps
769,CRT TV old model,Screens & Monitors
770,Office monitor screen,Screens & Monitors
771,Flat screen TV,Screens & Monitors
772,LED television,Screens & Monitors
773,Heat pump machine,Large Equipment
774,Industrial copier,Large Equipment
775,AA alkaline battery,Hazardous & Lamps
776,Touchscreen panel,Screens & Monitors
777,Computer CPU cabinet,Small IT & General Equipment
778,Flat screen TV,Screens & Monitors
779,Damaged rechargeable battery,Hazardous & Lamps
780,Large office printer,Large Equipment
781,Electronic toy,Small IT & General Equipment
782,Lithium ion battery from mobile phone,Hazardous & Lamps
783,Desktop computer monitor,Screens & Monitors
784,Broken LED bulb,Hazardous & Lamps
785,Phone charger cable,Small IT & General Equipment
786,AA alkaline battery,Hazardous & Lamps
787,Desktop computer monitor,Screens & Monitors
788,Heat pump machine,Large Equipment
789,Vacuum cleaner,Small IT & General Equipment
790,LCD monitor 24 inch,Screens & Monitors
791,Desktop computer monitor,Screens & Monitors
792,Fluorescent tube light,Hazardous & Lamps
793,UPS battery,Hazardous & Lamps
794,Large office printer,Large Equipment
795,Old CFL lamp,Hazardous & Lamps
796,AA alkaline battery,Hazardous & Lamps
797,Old CFL lamp,Hazardous & Lamps
798,Flat screen TV,Screens & Monitors
799,Vacuum cleaner,Small IT & General Equipment
800,Refrigerator cooling issue,Large Equipment
801,Electric kettle,Small IT & General Equipment
802,AA alkaline battery,Hazardous & Lamps
803,Air conditioner outdoor unit,Large Equipment
804,Tablet display cracked,Screens & Monitors
805,CRT TV old model,Screens & Monitors
806,Broken laptop screen,Screens & Monitors
807,Clothes dryer,Large Equipment
808,Desktop computer monitor,Screens & Monitors
809,Freezer unit,Large Equipment
810,Flat screen TV,Screens & Monitors
811,Button cell battery,Hazardous & Lamps
812,AA alkaline battery,Hazardous & Lamps
813,Heat pump machine,Large Equipment
814,Computer CPU cabinet,Small IT & General Equipment
815,Broken LED bulb,Hazardous & Lamps
816,Clothes dryer,Large Equipment
817,Button cell battery,Hazardous & Lamps
818,Broken LED bulb,Hazardous & Lamps
819,Computer CPU cabinet,Small IT & General Equipment
820,Phone charger cable,Small IT & General Equipment
821,Air conditioner outdoor unit,Large Equipment
822,CRT TV old model,Screens & Monitors
823,Clothes dryer,Large Equipment
824,Air conditioner outdoor unit,Large Equipment
825,Broken LED bulb,Hazardous & Lamps
826,Laptop motherboard,Small IT & General Equipment
827,Electric stove,Large Equipment
828,Laptop motherboard,Small IT & General Equipment
829,Router device,Small IT & General Equipment
830,Lithium ion battery from mobile phone,Hazardous & Lamps
831,Mercury lamp,Hazardous & Lamps
832,Computer CPU cabinet,Small IT & General Equipment
833,CRT TV old model,Screens & Monitors
834,Refrigerator cooling issue,Large Equipment
835,Lithium ion battery from mobile phone,Hazardous & Lamps
836,CRT TV old model,Screens & Monitors
837,LED television,Screens & Monitors
838,Electric stove,Large Equipment
839,Flat screen TV,Screens & Monitors
840,Large office printer,Large Equipment
841,Industrial copier,Large Equipment
842,Electric kettle,Small IT & General Equipment
843,Old CFL lamp,Hazardous & Lamps
844,Tablet display cracked,Screens & Monitors
845,Electronic toy,Small IT & General Equipment
846,Old CFL lamp,Hazardous & Lamps
847,UPS battery,Hazardous & Lamps
848,Touchscreen panel,Screens & Monitors
849,Mobile phone not switching on,Small IT & General Equipment
850,Laptop motherboard,Small IT & General Equipment
851,Router device,Small IT & General Equipment
852,LCD monitor 24 inch,Screens & Monitors
853,Vacuum cleaner,Small IT & General Equipment
854,Industrial copier,Large Equipment
855,Air conditioner outdoor unit,Large Equipment
856,Desktop computer monitor,Screens & Monitors
857,Mercury lamp,Hazardous & Lamps
858,Router device,Small IT & General Equipment
859,Broken laptop screen,Screens & Monitors
860,Power bank battery,Hazardous & Lamps
861,LED television,Screens & Monitors
862,Old CFL lamp,Hazardous & Lamps
863,Broken laptop screen,Screens & Monitors
864,Damaged rechargeable battery,Hazardous & Lamps
865,Washing machine not working,Large Equipment
866,AA alkaline battery,Hazardous & Lamps
867,LED television,Screens & Monitors
868,Freezer unit,Large Equipment
869,UPS battery,Hazardous & Lamps
870,Mercury lamp,Hazardous & Lamps
871,Heat pump machine,Large Equipment
872,Computer CPU cabinet,Small IT & General Equipment
873,AA alkaline battery,Hazardous & Lamps
874,Office monitor screen,Screens & Monitors
875,Notebook display,Screens & Monitors
876,Flat screen TV,Screens & Monitors
877,UPS battery,Hazardous & Lamps
878,Phone charger cable,Small IT & General Equipment
879,Freezer unit,Large Equipment
880,Vacuum cleaner,Small IT & General Equipment
881,Notebook display,Screens & Monitors
882,Refrigerator cooling issue,Large Equipment
883,Phone charger cable,Small IT & General Equipment
884,Electric kettle,Small IT & General Equipment
885,Old CFL lamp,Hazardous & Lamps
886,Notebook display,Screens & Monitors
887,Mobile phone not switching on,Small IT & General Equipment
888,Lithium ion battery from mobile phone,Hazardous & Lamps
889,Air conditioner outdoor unit,Large Equipment
890,Electric stove,Large Equipment
891,Computer CPU cabinet,Small IT & General Equipment
892,UPS battery,Hazardous & Lamps
893,Phone charger cable,Small IT & General Equipment
894,Industrial copier,Large Equipment
895,Phone charger cable,Small IT & General Equipment
896,Fluorescent tube light,Hazardous & Lamps
897,Old CFL lamp,Hazardous & Lamps
898,Microwave oven,Small IT & General Equipment
899,Desktop computer monitor,Screens & Monitors
900,Electric kettle,Small IT & General Equipment
901,Vacuum cleaner,Small IT & General Equipment
902,Computer CPU cabinet,Small IT & General Equipment
903,LCD monitor 24 inch,Screens & Monitors
904,Power bank battery,Hazardous & Lamps
905,CRT TV old model,Screens & Monitors
906,Industrial copier,Large Equipment
907,Broken LED bulb,Hazardous & Lamps
908,Fluorescent tube light,Hazardous & Lamps
909,LCD monitor 24 inch,Screens & Monitors
910,Freezer unit,Large Equipment
911,Laptop motherboard,Small IT & General Equipment
912,LCD monitor 24 inch,Screens & Monitors
913,Washing machine not working,Large Equipment
914,Electric stove,Large Equipment
915,Mobile phone not switching on,Small IT & General Equipment
916,Electric stove,Large Equipment
917,Tablet display cracked,Screens & Monitors
918,Touchscreen panel,Screens & Monitors
919,Laptop motherboard,Small IT & General Equipment
920,Industrial copier,Large Equipment
921,Broken laptop screen,Screens & Monitors
922,Broken LED bulb,Hazardous & Lamps
923,Heat pump machine,Large Equipment
924,LCD monitor 24 inch,Screens & Monitors
925,Damaged rechargeable battery,Hazardous & Lamps
926,Heat pump machine,Large Equipment
927,Desktop computer monitor,Screens & Monitors
928,Lithium ion battery from mobile phone,Hazardous & Lamps
929,Microwave oven,Small IT & General Equipment
930,Large office printer,Large Equipment
931,Old CFL lamp,Hazardous & Lamps
932,Power bank battery,Hazardous & Lamps
933,Refrigerator cooling issue,Large Equipment
934,Desktop computer monitor,Screens & Monitors
935,UPS battery,Hazardous & Lamps
936,Microwave oven,Small IT & General Equipment
937,Keyboard and mouse,Small IT & General Equipment
938,Electronic toy,Small IT & General Equipment
939,Industrial copier,Large Equipment
940,Button cell battery,Hazardous & Lamps
941,Washing machine not working,Large Equipment
942,Office monitor screen,Screens & Monitors
943,Tablet display cracked,Screens & Monitors
944,Electric kettle,Small IT & General Equipment
945,Keyboard and mouse,Small IT & General Equipment
946,Notebook display,Screens & Monitors
947,Office monitor screen,Screens & Monitors
948,Refrigerator cooling issue,Large Equipment
949,Lithium ion battery from mobile phone,Hazardous & Lamps
950,Laptop motherboard,Small IT & General Equipment
951,Mobile phone not switching on,Small IT & General Equipment
952,Mobile phone not switching on,Small IT & General Equipment
953,Electric kettle,Small IT & General Equipment
954,Air conditioner outdoor unit,Large Equipment
955,Air conditioner outdoor unit,Large Equipment
956,Broken LED bulb,Hazardous & Lamps
957,Dishwasher machine,Large Equipment
958,Electric kettle,Small IT & General Equipment
959,Keyboard and mouse,Small IT & General Equipment
960,Tablet display cracked,Screens & Monitors
961,Phone charger cable,Small IT & General Equipment
962,Mobile phone not switching on,Small IT & General Equipment
963,Phone charger cable,Small IT & General Equipment
964,Mobile phone not switching on,Small IT & General Equipment
965,Freezer unit,Large Equipment
966,Touchscreen panel,Screens & Monitors
967,LCD monitor 24 inch,Screens & Monitors
968,Broken LED bulb,Hazardous & Lamps
969,Notebook display,Screens & Monitors
970,Broken LED bulb,Hazardous & Lamps
971,AA alkaline battery,Hazardous & Lamps
972,Office monitor screen,Screens & Monitors
973,Mobile phone not switching on,Small IT & General Equipment
974,Vacuum cleaner,Small IT & General Equipment
975,Refrigerator cooling issue,Large Equipment
976,Computer CPU cabinet,Small IT & General Equipment
977,Broken laptop screen,Screens & Monitors
978,Mobile phone not switching on,Small IT & General Equipment
979,Old CFL lamp,Hazardous & Lamps
980,Computer CPU cabinet,Small IT & General Equipment
981,Heat pump machine,Large Equipment
982,Washing machine not working,Large Equipment
983,Power bank battery,Hazardous & Lamps
984,Broken laptop screen,Screens & Monitors
985,Computer CPU cabinet,Small IT & General Equipment
986,Heat pump machine,Large Equipment
987,Clothes dryer,Large Equipment
988,Tablet display cracked,Screens & Monitors
989,Lithium ion battery from mobile phone,Hazardous & Lamps
990,Notebook display,Screens & Monitors
991,Freezer unit,Large Equipment
992,Fluorescent tube light,Hazardous & Lamps
993,Keyboard and mouse,Small IT & General Equipment
994,Router device,Small IT & General Equipment
995,Mercury lamp,Hazardous & Lamps
996,Electric stove,Large Equipment
997,Router device,Small IT & General Equipment
998,Desktop computer monitor,Screens & Monitors
999,Desktop computer monitor,Screens & Monitors
1000,Desktop computer monitor,Screens & Monitors
